city_id,city,name,rating,url
5,Rouen,Le Majolique Nice and Cozy Apartment,9.4,https://www.booking.com/hotel/fr/le-majolique-nice-and-cozy-apartment.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults
5,Rouen,Ibis Rouen Centre Rive Gauche Mermoz,7.7,https://www.booking.com/hotel/fr/campanile-rouen-mermoz.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults
5,Rouen,Le petit Rouen,9.5,https://www.booking.com/hotel/fr/le-petit-rouen-rouen.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults
5,Rouen,Novotel Rouen Centre Cathédrale,8.5,https://www.booking.com/hotel/fr/novotel-rouen-centre-cathedrale.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from_sustainable_property_sr=1&from=searchresults
5,Rouen,Joli appart cosy tout confort avec parking gratuit,9.4,https://www.booking.com/hotel/fr/joli-appart-cosy-tout-confort-avec-parking-gratuit.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults
5,Rouen,Rouen Hyper Centre Cathédrale Hotel de ville,8.4,https://www.booking.com/hotel/fr/rouen-hyper-centre-cathedrale-de-ville.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults
5,Rouen,Mercure Rouen Centre Cathédrale,8.5,https://www.booking.com/hotel/fr/mercure-rouen-centre.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from_sustainable_property_sr=1&from=searchresults
5,Rouen,KYRIAD ROUEN SUD - Sotteville les Rouen,8.0,https://www.booking.com/hotel/fr/kyriad-rouen-sud.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults
5,Rouen,Le Petit Horloge,9.3,https://www.booking.com/hotel/fr/le-petit-horloge-rouen.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults
5,Rouen,Bienvenue à LOlive votre écrin vert nature au cœur de Rouen,,https://www.booking.com/hotel/fr/bienvenue-a-lolive-votre-ecrin-vert-nature-au-coeur-de-rouen.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults
